akses, -0.6673270463943481 0.5193060636520386 0.23431484401226044 0.8845551013946533 -0.5531488656997681 0.12917384505271912 0.10749991983175278 -0.5512132048606873 0.4221649467945099 0.2537262439727783 0.18561679124832153 0.03474505990743637 0.16008201241493225 0.33236822485923767 0.16583386063575745 0.5473570227622986 -0.6917447447776794 -0.4554261565208435 -0.06730036437511444 -0.5547681450843811 0.5562269687652588 0.7284089922904968 0.23755790293216705 -0.6127954125404358 0.6814780235290527 -0.44288158416748047 -0.43296369910240173 -0.6870488524436951 -0.16062448918819427 -0.5489956140518188 -0.5944565534591675 0.7287003993988037 0.23897269368171692 -0.4180050194263458 0.3685762286186218 0.17577406764030457 0.5918912887573242 0.7690476775169373 -0.4445156753063202 0.597159743309021 -0.2576712369918823 0.08310963958501816 0.20973899960517883 -0.4367119371891022 0.2570130527019501 0.004399944096803665 -0.5843790769577026 -0.1575509011745453 0.4825420677661896 -0.5382364988327026
akun, -0.33320701122283936 0.25544214248657227 -0.41181057691574097 -0.751568615436554 -0.5809425711631775 0.39006462693214417 -0.8228136301040649 -0.203751340508461 -0.6739286780357361 -0.8720998167991638 0.802416980266571 0.3485082983970642 0.15284766256809235 0.02920447289943695 -0.38677653670310974 -0.5171223282814026 0.5134323239326477 0.4270908534526825 -0.24865461885929108 -0.28620344400405884 -0.2850424349308014 0.25863173604011536 0.06084926053881645 0.30501997470855713 0.3917139768600464 0.44117578864097595 0.8079103231430054 0.500740110874176 0.45025524497032166 0.6905107498168945 -0.0027767957653850317 0.12549424171447754 0.7889608144760132 0.8996232748031616 0.7330394387245178 -0.15761148929595947 -0.7891790270805359 0.6877601742744446 -0.18915046751499176 -0.016944773495197296 0.23551319539546967 0.5887065529823303 0.3731335401535034 -0.5351614952087402 0.45059913396835327 0.4997203052043915 -0.7682164311408997 0.23257091641426086 -0.5388820171356201 -0.23900069296360016
aplikasi, -0.7231358289718628 -0.263029545545578 -0.33179721236228943 0.7902461886405945 0.7454904913902283 0.3169398903846741 0.8772258758544922 0.2956779897212982 -0.5284852981567383 -0.5977433919906616 0.5887308716773987 0.13699086010456085 0.19041024148464203 -0.2873084247112274 -0.22685933113098145 -0.49336758255958557 -0.4148774743080139 0.3165735900402069 0.6942391991615295 0.8008244037628174 -0.6658168435096741 0.7667219638824463 -0.10073238611221313 0.40346813201904297 0.40403255820274353 0.011098576709628105 -0.4624328315258026 0.7824447751045227 -0.12773583829402924 -0.08972077816724777 0.8865768313407898 -0.5312346816062927 0.7086930871009827 -0.33687636256217957 -0.7339866161346436 0.5588420629501343 -0.519297182559967 -0.7278549075126648 0.20310986042022705 -0.46133455634117126 0.012741176411509514 0.8344547748565674 0.42250511050224304 -0.5675551891326904 -0.7705707550048828 -0.596623957157135 -0.2580806314945221 -0.1510733664035797 -0.5085786581039429 -0.3234008848667145
atur, -0.5969375371932983 -0.44338303804397583 -0.42751064896583557 -0.5203721523284912 -0.34181877970695496 0.30919015407562256 0.40723490715026855 -0.39352867007255554 -0.1991717666387558 -0.636934757232666 0.2935366630554199 -0.351582407951355 0.6223592758178711 -0.817781925201416 -0.7018581032752991 -0.05099746212363243 0.4216444194316864 0.3857865631580353 0.08833976089954376 -0.5643947720527649 0.13175511360168457 -0.4505784213542938 -0.29378533363342285 -0.3362328112125397 0.5017632842063904 0.43537038564682007 0.6905604600906372 0.30406808853149414 0.6128478050231934 0.5963187217712402 -0.2391137033700943 0.1684834361076355 0.7975417971611023 0.2754102647304535 0.5100896954536438 -0.16149070858955383 -0.715329110622406 0.6446359753608704 0.07041895389556885 -0.7562673091888428 0.1481092870235443 0.6415831446647644 0.4040040075778961 -0.42550885677337646 0.32546690106391907 -0.9646344780921936 -0.7654029130935669 0.053102146834135056 0.33101943135261536 -0.2226826697587967
authenticator, -0.07491233944892883 -0.25579971075057983 0.4211512506008148 0.12876223027706146 -0.13209262490272522 -0.7072135210037231 0.34242236614227295 -0.2350740283727646 -0.16558539867401123 -0.45200246572494507 -0.18706059455871582 0.23650974035263062 -0.3319051265716553 -0.34217315912246704 -0.71137535572052 0.3466455936431885 0.517310380935669 0.23906593024730682 0.5831207633018494 0.8033427000045776 0.17197851836681366 0.3802831172943115 -0.6706871390342712 -0.08526210486888885 0.18996304273605347 -0.6432194709777832 0.4726119339466095 -0.3323144316673279 0.7716465592384338 -0.4076966643333435 0.756083607673645 -0.7592931985855103 -0.5350445508956909 -0.2561298608779907 -0.7576590180397034 0.48399877548217773 0.22408293187618256 0.14681929349899292 -0.8082269430160522 -0.4404512643814087 0.14393757283687592 0.6086893081665039 -0.4973517954349518 -0.11691521108150482 -0.5649282336235046 -0.1755991131067276 0.6772881746292114 -0.6261932253837585 -0.28446513414382935 -0.6123218536376953
bawa, 0.16012728214263916 -0.4821530878543854 -0.5113071203231812 0.05556558817625046 0.37773311138153076 -0.669356107711792 -0.2889079749584198 -0.0513824038207531 -0.28105369210243225 0.0778670385479927 -0.7076371908187866 -0.328330934047699 -0.46012064814567566 0.4282287359237671 0.37977537512779236 0.3729776442050934 0.5690839290618896 -0.433671236038208 -0.6305564045906067 -0.6369336247444153 0.27745434641838074 -0.35377752780914307 0.7970685958862305 0.4547056555747986 -0.6691564321517944 -0.6712127327919006 -0.062085650861263275 0.5438406467437744 0.5611578226089478 -0.5493046641349792 -0.14789904654026031 -0.6299086809158325 0.45998144149780273 0.691337525844574 0.5735338926315308 -0.4090462923049927 -0.41863274574279785 -0.5790112614631653 0.35844793915748596 0.5206231474876404 -0.6721996068954468 0.24380943179130554 -0.7131314873695374 -0.40228602290153503 0.41904759407043457 -0.14736969769001007 -0.4311598241329193 0.29045072197914124 -0.2672994136810303 -0.924055814743042
bot, 0.6492781639099121 0.7156940698623657 0.75298672914505 -0.6713036298751831 -0.6880752444267273 -0.627463161945343 -0.6965506672859192 -0.08066516369581223 0.4246794283390045 0.35106855630874634 -0.7285889983177185 0.1867433339357376 -0.524896502494812 -0.6918736696243286 0.26535046100616455 0.7849700450897217 -0.4160170257091522 0.35634881258010864 -0.5618384480476379 0.6784284710884094 -0.2989417612552643 -0.5783559679985046 0.38505545258522034 0.16241395473480225 -0.4892747700214386 0.33001708984375 -0.35908129811286926 -0.09909572452306747 -0.30719509720802307 -0.04979080334305763 -0.322591096162796 -0.0714389905333519 -0.3651813566684723 -0.11070436239242554 0.04385450482368469 0.08825770020484924 0.024161193519830704 -0.11536362767219543 0.3524479269981384 -0.6272451877593994 -0.8663650751113892 0.13695049285888672 -0.18247513473033905 0.22121183574199677 0.011276585049927235 -0.16406027972698212 0.38659459352493286 0.2813284993171692 0.5410972237586975 0.46800148487091064
butuh, 0.6041513085365295 0.4303957223892212 0.5186560153961182 -0.793324887752533 -0.4424590468406677 0.20481644570827484 0.3136638402938843 -0.6924604773521423 -0.5236413478851318 0.38576245307922363 0.13316217064857483 0.41005250811576843 0.5945013165473938 0.17487531900405884 0.572688102722168 0.7180393934249878 0.2812570035457611 0.007856842130422592 -0.11207945644855499 0.4308689832687378 -0.22756525874137878 -0.7348416447639465 0.20443372428417206 -0.5343791842460632 -0.36733245849609375 -0.05840066075325012 0.5488967895507812 -0.10584715753793716 0.027564795687794685 0.6173416972160339 -0.5089133977890015 0.3292178511619568 0.3605017364025116 -0.6691855788230896 0.10779368132352829 0.348307728767395 -0.3727104067802429 -0.6082609295845032 0.5414590835571289 -0.16903969645500183 -0.21794761717319489 0.0007410736288875341 0.4559050500392914 0.3295239210128784 0.6230624318122864 0.6400060653686523 0.6897556185722351 -0.12117936462163925 0.5432248711585999 -0.42877262830734253
byod, -0.30161771178245544 0.16290147602558136 0.43136119842529297 0.3173578679561615 0.21838220953941345 -0.43837371468544006 -0.6020187139511108 0.5559878945350647 0.2495017945766449 0.3391950726509094 0.5668776631355286 0.4243920147418976 -0.6581994891166687 0.4070749878883362 0.6496148109436035 0.5728260278701782 -0.4827037751674652 -0.6389799118041992 0.7851046919822693 -0.4171159267425537 0.6006957292556763 0.6764727234840393 0.2226569652557373 -0.10547737032175064 0.4112425446510315 0.028171800076961517 0.5469108819961548 -0.4178076982498169 0.12341718375682831 0.3240526616573334 0.16815117001533508 0.4985722601413727 -0.8463361263275146 -0.2804461121559143 0.3729468584060669 0.6584782600402832 -0.24975082278251648 0.17084963619709015 -0.03729819506406784 0.6779166460037231 -0.31540435552597046 0.1636362224817276 -0.005194256082177162 -0.3725179433822632 -0.8071402311325073 0.5652288794517517 -0.3543427884578705 0.39258965849876404 0.3593865931034088 -0.35042017698287964
card, -0.4289076030254364 -0.7773054838180542 -0.084327831864357 0.4665364921092987 0.7442358136177063 0.6193704605102539 0.5990002155303955 -0.4780105948448181 0.28236913681030273 -0.6911160349845886 0.089207224547863 -0.5482078194618225 0.5619714260101318 0.23302657902240753 0.35797110199928284 -0.7259165644645691 -0.9303874969482422 0.5968523025512695 0.6329360008239746 0.5224729180335999 -0.6269574165344238 -0.05745486170053482 -0.31112441420555115 -0.4874599874019623 -0.4135165512561798 0.6081303358078003 0.8361828327178955 0.3076953887939453 -0.7508792281150818 0.35270974040031433 0.7176874876022339 -0.6817967295646667 0.6950920820236206 -0.6784447431564331 -0.4289826452732086 -0.25649258494377136 -0.4649535119533539 -0.45944350957870483 -0.21468091011047363 0.14490655064582825 -0.7269868850708008 0.2146180421113968 0.45179611444473267 -0.19186566770076752 0.5510346293449402 0.41197529435157776 -0.0784982293844223 -0.1785086989402771 -0.7135474681854248 0.056158993393182755
